nombre	inicio	final	longitud	producto
SAR0167	173669	174778	1109	capsular polysaccharide synthesis enzyme
SAR0168	174782	175906	1124	capsular polysaccharide synthesis enzyme
SAR0169	175909	176988	1079	capsular polysaccharide synthesis enzyme
SAR0170	176981	178375	1394	capsular polysaccharide synthesis enzyme
SAR0171	178372	178929	557	capsular polysaccharide synthesis enzyme
SAR0172	178938	180176	1238	capsular polysaccharide synthesis enzyme
SAR0173	180210	181415	1205	capsular polysaccharide synthesis enzyme
SAR0174	181426	181983	557	capsular polysaccharide synthesis enzyme
SAR0175	181983	182870	887	capsular polysaccharide synthesis enzyme
SAR0176	182924	184186	1262	capsular polysaccharide synthesis enzyme
SAR0177	184233	185408	1175	capsular polysaccharide synthesis enzyme
SAR0178	185473	185799	326	conserved hypothetical protein
SAR0179	185806	186189	383	putative membrane protein
SAR0180	186616	188103	1487	putative aldehyde dehydrogenase
SAR0181	188750	189709	959	putative cation efflux system protein
SAR0182	189771	189974	203	hypothetical protein
SAR0183	190154	190666	512	conserved hypothetical protein
argJ	191008	191748	740	putative ABC transporter ATP-binding protein
argC	191762	192736	974	putative lipoprotein
SAR0186	192733	193494	761	putative transport system permease
SAR0187	193507	194538	1031	conserved hypothetical protein
SAR0188	194752	195111	359	conserved hypothetical protein
SAR0189	195186	196310	1124	putative D-isomer specific 2-hydroxyacid
glcA	196696	197946	1250	putative transporter protein
SAR0191	198393	205568	7175	putative non-ribosomal peptide synthetase
SAR0192	205581	206225	644	4'-phosphopantetheinyl transferase superfamily
SAR0193	206554	207048	494	putative membrane protein
SAR0194	207318	208088	770	putative amino acid kinase
SAR0195	208104	209345	1241	putative arginine biosynthesis bifunctional
SAR0196	209357	210391	1034	putative N-acetyl-gamma-glutamyl-phosphate
SAR0197	210427	211611	1184	putative ornithine aminotransferase precursor
SAR0198	211864	213219	1355	putative branched-chain amino acid transport
SAR0199	213486	214043	557	putative isochorismatase
SAR0200	214110	215750	1640	putative thiamine pyrophosphate enzyme
rlp	216022	218067	2045	glucose-specific PTS transporter protein, IIABC
SAR0202	218652	219707	1055	conserved hypothetical protein
SAR0203	219704	220603	899	conserved hypothetical protein
SAR0204	220615	222069	1454	sucrose-specific PTS tranporter protein
SAR0205	222069	222947	878	RpiR family transcriptional regulator
SAR0206	223142	223423	281	putative membrane protein
SAR0207	223636	226425	2789	putative type I restriction enzyme
SAR0208	226625	227488	863	hypothetical protein
SAR0209	227693	229285	1592	ABC transporter ATP-binding protein
SAR0210	229413	230720	1307	putative transport system permease
SAR0211	230726	231889	1163	putative transport system permease
SAR0212	231906	233681	1775	RGD-containing lipoprotein
uhpT	233719	235725	2006	putative gamma-glutamyltranspeptidase
SAR0214	236262	236888	626	putative phosphodiesterase
SAR0215	237097	237675	578	putative peptidase
SAR0216	238058	239155	1097	putative ABC transporter, ATP-binding protein
SAR0217	239168	240439	1271	putative extracellular sugar-binding
SAR0218	240442	241710	1268	putative sugar transport system permease
SAR0219	241712	242551	839	putative sugar transport system permease
SAR0220	242725	243804	1079	putative oxidoreductase
SAR0221	243829	244869	1040	putative oxidoreductase
SAR0222	244924	245892	968	conserved hypothetical protein
fadA	246251	246745	494	putative membrane protein
fadB	246978	248357	1379	putative sugar phosphate transport protein
fadD	248716	249474	758	putative response regulator
fadE	249467	251023	1556	putative sensor kinase protein
fadX	251020	251988	968	putative lipoprotein
SAR0228	252576	254825	2249	formate acetyltransferase
SAR0229	254848	255603	755	putative pyruvate formate-lyase activating
SAR0230	255707	255874	167	hypothetical protein
SAR0231	255925	257688	1763	putative membrane protein
SAR0232	257852	258196	344	hypothetical protein
SAR0233	258386	260215	1829	staphylocoagulase precursor
ldh1	260802	261986	1184	putative thiolase
SAR0235	262016	264277	2261	putative fatty oxidation complex protein
SAR0236	264464	265675	1211	putative acyl-CoA dehydrogenase
SAR0237	265787	267292	1505	putative acyl-CoA synthetase
SAR0240	267318	268880	1562	putative acetyl-CoA transferase
SAR0241	269254	269925	671	putative glutamine amidotransferase class-I
SAR0242	270148	271290	1142	putative membrane protein
SAR0243	271601	273076	1475	putative extracellular solute-binding
SAR0244	273274	273630	356	conserved hypothetical protein
SAR0245	273787	273960	173	putative membrane protein
SAR0246	273985	275130	1145	flavohemoprotein
SAR0247	275703	276656	953	L-lactate dehydrogenase 1
SAR0248	276977	278506	1529	putative PTS transport system, IIBC component
SAR0249	278870	279805	935	putative inosine-uridine preferring nucleoside
SAR0250	279841	279987	146	hypothetical protein
SAR0251	280143	281561	1418	putative PTS multi-domain regulator
SAR0252	282224	282691	467	putative PTS transport system, IIA component
SAR0253	282714	282992	278	putative PTS transport system, IIB component
SAR0254	283219	284478	1259	putative PTS transport system, IIC component
SAR0255	284496	285551	1055	putative zinc-binding dehydrogenase
scdA	285553	285699	146	hypothetical protein
lytS	285723	286766	1043	putative zinc-binding dehydrogenase
lytR	287294	288010	716	conserved hypothetical protein
lrgA	288003	289028	1025	putative zinc-binding dehydrogenase
lrgB	289050	290744	1694	hypothetical protein
SAR0261	291010	291171	161	hypothetical protein
SAR0262	291336	291461	125	hypothetical protein
SAR0263	291714	292883	1169	putative teichoic acid biosynthesis protein
bglA	293159	293875	716	conserved hypothetical protein
SAR0265	293868	294893	1025	putative zinc-binding dehydrogenase
SAR0266	294915	296603	1688	hypothetical protein
SAR0267	296636	298360	1724	putative glycosyl transferase
SAR0268	298500	299174	674	cell wall metabolism protein
SAR0269	299425	301179	1754	autolysin sensor kinase protein
SAR0269a	301182	301922	740	autolysin response regulator protein
SAR0270	302035	302478	443	holin-like protein
SAR0271	302471	303172	701	holin-like protein
SAR0272	303513	305804	2291	putative nitric oxide reductase
lytM	306030	306734	704	GntR family regulatory protein
SAR0274	306881	307672	791	putative PTS transport system protein
SAR0275	307688	309124	1436	6-phospho-beta-glucosidase
SAR0276	309619	310380	761	conserved hypothetical protein
SAR0277	310631	311545	914	putative ribokinase
SAR0278	311573	311977	404	putative ribose transport protein
SAR0279	311992	312873	881	putative sugar transport protein
SAR0280	313105	314103	998	LacI family regulatory protein
SAR0281	314320	314433	113	hypothetical protein
SAR0282	314483	314875	392	hypothetical protein
SAR0283	315004	316380	1376	putative transport protein
SAR0284	316614	317606	992	putative choloylglycine hydrolase
SAR0285	317932	318882	950	peptidoglycan hydrolase
SAR0286	318934	319593	659	putative ABC transporter ATP-binding protein
SAR0287	319607	320527	920	putative membrane protein
SAR0288	320524	321690	1166	putative membrane protein
SAR0289	321758	323281	1523	putative exported protein
SAR0290	323611	324513	902	putative exported protein
SAR0291	324752	325045	293	conserved hypothetical protein
SAR0292	325128	328157	3029	putative membrane protein
SAR0293	328157	328615	458	putative membrane protein
SAR0294	328587	328829	242	conserved hypothetical protein
SAR0299	328842	330176	1334	putative membrane protein
SAR0301	330198	334646	4448	putative membrane protein
SAR0302	334649	334915	266	hypothetical protein
SAR0303	334938	335333	395	hypothetical protein
SAR0304	335355	337025	1670	hypothetical protein
SAR0305	337041	337685	644	putative membrane protein
SAR0306	337685	338140	455	hypothetical protein
SAR0307	338160	338591	431	hypothetical protein
SAR0308	338615	339202	587	putative membrane protein
SAR0309	339379	339597	218	putative membrane protein
SAR0310	339729	340229	500	conserved hypothetical protein
SAR0311	340240	340740	500	conserved hypothetical protein
SAR0312	340751	341239	488	conserved hypothetical protein (pseudogene)
SAR0313	341250	341738	488	conserved hypothetical protein (pseudogene)
SAR0314	342424	342750	326	hypothetical protein
SAR0315	342884	343282	398	putative membrane protein
SAR0316	343532	344356	824	putative formate/nitrite transporter
geh	344607	345914	1307	putative amino acid transport system
SAR0318	346498	347388	890	putative exported protein
SAR0319	347637	348686	1049	putative membrane protein
SAR0320	348699	349376	677	ABC transporter ATP-binding protein
SAR0321	349584	350615	1031	putative membrane protein
SAR0322	350958	352076	1118	PfkB family carbohydrate kinase
SAR0323	352051	352974	923	putative membrane protein
SAR0324	352985	354205	1220	putative nucleoside permease
SAR0325	354310	355842	1532	sodium:solute symporter family protein
SAR0326	355882	356763	881	putative N-acetylneuraminate lyase
SAR0327	356921	357781	860	putative ROK family protein
SAR0328	358058	358858	800	putative transcription regulator
SAR0329	358998	359666	668	conserved hypothetical protein
SAR0330	359792	361105	1313	putative membrane protein
SAR0331	361522	363597	2075	lipase precursor
SAR0332	363839	364666	827	hypothetical protein
glpT	364724	365938	1214	NADH:flavin oxidoreductase/NADH oxidase family
SAR0334	366246	367247	1001	putative bacterial luciferase family protein
SAR0335	367281	367613	332	putative glycine cleavage H-protein
SAR0338	367614	368414	800	conserved hypothetical protein
SAR0339	368401	369348	947	conserved hypothetical protein
SAR0340	369326	370348	1022	putative lipoate-protein ligase A
SAR0341	370661	371689	1028	putative reductase
SAR0342	371783	373129	1346	putative membrane protein
SAR0343	373144	373428	284	putative PTS transport system protein
SAR0344	373430	373873	443	putative PTS transport system IIA component
SAR0345	373878	375833	1955	putative PTS multidomain regulator
SAR0346	376045	376464	419	MarR family regulatory protein
SAR0347	376571	377926	1355	putative membrane protein
SAR0348	378032	378472	440	hypothetical protein
SAR0349	378556	379914	1358	putative glycerol-3-phosphate transporter
SAR0350	380226	381152	926	putative dioxygenase
thl	381166	382227	1061	putative luciferase-like monooxygenase
SAR0352	382241	382807	566	NADH-dependent FMN reductase (pseudogene)
metE	382867	383862	995	putative membrane protein
SAR0354	384222	384767	545	putative acetyltransferase
SAR0355	385032	385886	854	putative lipoprotein
SAR0356	385883	387112	1229	putative Sec-independent exported protein
SAR0357	387093	388805	1712	putative membrane protein
SAR0358	389116	389817	701	putative Sec-independent protein translocase
SAR0359	389834	390049	215	putative Sec-independent protein translocase
SAR0360	390157	390546	389	conserved hypothetical protein
SAR0361	390786	390989	203	putative DNA-binding protein
rpsF	390986	391699	713	putative membrane protein
ssb	391724	392566	842	ABC transporter ATP-binding protein
rpsR	392566	393195	629	putative membrane protein
SAR0365	393564	394697	1133	putative membrane protein
SAR0366	395237	396418	1181	acetyl-CoA acetyltransferase
SAR0367	396501	397253	752	conserved hypothetical protein
SAR0368	397296	399524	2228	5-methyltetrahydropteroyltriglutamate--homocyst
SAR0369	399521	401362	1841	conserved hypothetical protein
SAR0370	401331	402491	1160	Cys/Met metabolism PLP-dependent enzyme
SAR0371	402488	403591	1103	Cys/Met metabolism PLP-dependent enzyme
SAR0372	404255	405100	845	putative DNA-binding protein
SAR0373	405254	406135	881	putative membrane protein
SAR0374	406165	406368	203	conserved hypothetical protein
SAR0375	406380	407477	1097	putative GTP-binding protein
SAR0376	407563	407754	191	hypothetical protein
SAR0377	407998	408294	296	30S ribosomal protein S6
SAR0378	408315	408818	503	putative single-strand DNA-binding protein
SAR0379	408870	409112	242	30S ribosomal protein S18
SAR0380	409344	410063	719	hypothetical protein
SAR0381	410176	411390	1214	putative integrase
SAR0382	411551	412174	623	DNA-binding protein
SAR0383	412269	412487	218	putative DNA-binding protein
SAR0384	412488	412760	272	conserved hypothetical protein
SAR0385	412772	412945	173	putative exported protein
SAR0386	412912	413058	146	hypothetical protein
SAR0389	413116	413499	383	hypothetical protein
SAR0390	413500	413826	326	hypothetical protein
SAR0391	413891	414760	869	hypothetical protein
SAR0392	414774	416483	1709	hypothetical protein
SAR0393	416793	417173	380	hypothetical protein
SAR0394	417170	417811	641	hypothetical protein
SAR0395	418519	418863	344	hypothetical protein
SAR395a	418894	419547	653	hypothetical protein
SAR0396	419600	420127	527	hypothetical protein
SAR0397	420130	420471	341	hypothetical protein
ahpF	420468	421037	569	putative terminase small subunit
ahpC	421275	422282	1007	hypothetical protein
SAR0400	422460	422861	401	hypothetical protein
SAR0401	422979	423491	512	putative membrane protein
SAR0401a	424449	425456	1007	hypothetical protein
SAR0402	425462	426052	590	integrase (fragment)
SAR0403	426413	426781	368	putative exported protein
SAR0404	426962	427534	572	putative lipoprotein
SAR0405	427672	427935	263	hypothetical protein
xpt	428229	428483	254	putative membrane protein
pbuX	428522	428731	209	hypothetical protein
guaB	428909	429490	581	phosphoglycerate mutase family protein
guaA	429556	429939	383	putative membrane protein
SAR0411	430027	430134	107	hypothetical protein
SAR0414	430210	430836	626	putative lipoprotein
SAR0416	430909	432528	1619	hypothetical protein
SAR0418	432643	434166	1523	alkyl hydroperoxide reductase subunit F
SAR0419	434182	434751	569	alkyl hydroperoxide reductase subunit C
SAR0420	435242	435997	755	nitroreductase family protein
SAR0421	436077	437465	1388	putative sodium:dicarboxylate symporter protein
SAR0422	437550	437651	101	hypothetical protein
SAR0423	438408	438569	161	hypothetical protein
SAR0424	438584	439540	956	putative DNA-binding protein
SAR0425	439658	440320	662	hypothetical protein
SAR0426	440463	440870	407	hypothetical protein
set3	441383	441961	578	putative xanthine phosphoribosyltransferase
set1	441961	443229	1268	putative xanthine permease
set5	443267	444733	1466	putative inosine-5'-monophosphate dehydrogenase
set4	444758	446299	1541	putative GMP synthase
SAR0432	446829	447365	536	hypothetical protein
SAR0433	447757	448462	705	conserved hypothetical protein (pseudogene)
SAR0434	448771	448947	176	hypothetical protein
SAR0435	448957	449082	125	hypothetical protein (fragment)
SAR0436	449108	449295	187	hypothetical protein (fragment)
SAR0437	450191	450352	161	putative transposase
SAR0438	450752	450871	119	hypothetical protein
SAR0439	450865	451224	359	hypothetical protein
SAR0442	451243	452088	845	putative membrane protein
SAR0443	452560	453240	680	conserved hypothetical protein
SAR0444	453523	454224	701	exotoxin
SAR0445	454512	455543	1031	exotoxin
SAR0447	455890	456810	920	exotoxin
SAR0448	456957	457082	125	exotoxin
SAR0449	457171	457875	704	hypothetical protein
SAR0450	458322	459017	695	exotoxin 3
SAR0451	459358	460056	698	exotoxin 1
SAR0452	460419	461102	683	exotoxin 5
SAR0453	461180	461311	131	exotoxin 4
SAR0454	461364	462920	1556	hypothetical protein
SAR0455	462913	464145	1232	putative type I restriction enzyme modification
SAR0456	464528	465226	698	putative restriction and modification system
SAR0457	465245	466732	1487	exotoxin
SAR0457a	466838	467146	308	putative exported protein
SAR0458	467510	468295	785	putative exported protein
SAR0459	468343	469116	773	putative lipoprotein
SAR0460	469147	469949	802	putative lipoprotein
SAR0461	469987	470757	770	putative lipoprotein (pseudogene)
SAR0462	470789	471589	800	putative membrane protein
SAR0463	471608	472402	794	putative lipoprotein
SAR0464	472568	473389	821	putative lipoprotein
SAR0465	473382	474709	1327	putative lipoprotein
SAR0466	474706	475029	323	hypothetical protein (pseudogene)
SAR0467	475048	475362	314	hypothetical protein
SAR0468	475651	475845	194	hypothetical protein
SAR0469	476030	477232	1202	putative membrane protein
SAR0470	477501	477629	128	putative cobalamin synthesis protein
gltA	478818	480302	1484	hypothetical protein
gltB	480315	483020	2705	putative NADH-Ubiquinone/plastoquinone (complex
SAR0473	483182	483544	362	hypothetical protein
SAR0474	483773	484120	347	conserved hypothetical protein
SAR0475	484227	484901	674	putative membrane protein
SAR0475a	484938	485672	734	putative membrane protein
SAR0476	485874	485963	89	conserved hypothetical protein
dnaX	486126	487466	1340	hypothetical protein
SAR0478	487683	488588	905	sodium:neurotransmitter symporter family
recR	488581	489723	1142	pyridoxal-phosphate dependent enzyme
SAR0480	490014	491039	1025	putative Cys/Met metabolism PLP-dependent
SAR0481	491043	491702	659	ABC transporter ATP-binding protein
SAR0482	491739	492581	842	putative transport system membrane protein
tmk	492915	493919	1004	putative lipoprotein
SAR0484	494106	494375	269	putative exported protein
holB	494516	494920	404	putative membrane protein
SAR0486	494910	495395	485	MutT domain containing protein
SAR0487	495564	496346	782	putative acetyltransferase
SAR0488	496343	497461	1118	putative membrane protein
SAR0489	497576	498460	884	putative membrane protein
SAR0490	498641	503140	4499	LysR family regulatory protein
metG	503158	504621	1463	glutamate synthase, large subunit
SAR0492	505439	506866	1427	glutamate synthase, small subunit
SAR0493	506930	508570	1640	sugar-specific PTS transport system, IIBC
SAR0494	508595	509323	728	putative glycosyl hydrolase
veg	509760	509825	65	GntR family regulatory protein
SAR0496	509964	510488	524	hypothetical protein
purR	510557	512254	1697	acetyltransferase (GNAT) family protein
yabJ	512344	512661	317	DNA polymerase III, tau subunit
spoVG	512668	513264	596	conserved hypothetical protein
gcaD	519424	520212	788	putative recombination protein
prs	520236	520991	755	16S ribosomal RNA
rplY	521423	522760	1337	23S ribosomal RNA
SAR0503	522762	523379	617	5S ribosomal RNA
SAR0504	523407	523736	329	putative insertion element protein
SAR0505	523950	524876	926	putative insertion element protein
SAR0506	524877	525680	803	Orn/Lys/Arg decarboxylase family protein
SAR0507	525697	526044	347	putative thymidylate kinase
SAR0508	526318	527043	725	conserved hypothetical protein
SAR0509	527036	527284	248	putative DNA polymerase III, delta' subunit
SAR0510	527286	528125	839	conserved hypothetical protein
hpt	528410	530383	1973	conserved hypothetical protein
ftsH	530414	531187	773	conserved hypothetical protein
SAR0513	531354	531890	536	conserved hypothetical protein
SAR0514	531901	532794	893	tetrapyrrole (corrin/porphyrin) methylase family
folP	532894	533157	263	putative methionyl-tRNA synthetase
folB	533468	534316	848	putative TatD related DNase
folK	534330	535154	824	conserved hypothetical protein
lysS	535171	535551	380	ribosomal RNA adenine dimethylase
SAR0519	535624	535926	302	conserved hypothetical protein
SAR0520	536269	537621	1352	conserved hypothetical protein
SAR0521	537768	538733	965	putative pur operon repressor
SAR0522	538883	539536	653	putative regulatory protein
SAR0523	539847	540419	572	stage V sporulation protein G
nupC	540419	543925	3506	putative UDP-N-acetylglucosamine
SAR0525	543915	545441	1526	ribose-phosphate pyrophosphokinase
SAR0526	545441	546634	1193	putative 50S ribosomal protein L25
SAR0527	546631	546894	263	putative peptidyl-tRNA hydrolase
clpC	546912	547304	392	putative transcription-repair coupling factor
radA	547409	547810	401	putative polysaccharide biosynthesis protein
SAR0530	547990	549285	1295	putative tetrapyrrole (corrin/porphyrin)
gltX	549290	549829	539	S4 domain containing protein
cysE	550087	552180	2093	putative cell division protein
cysS	552594	553475	881	putative RNA binding protein
SAR0534	553654	554586	932	conserved hypothetical protein
yacO	554802	555605	803	putative hypoxanthine phosphoribosyltransferase
SAR0536	555583	555948	365	putative cell division protein
sigH	555945	556421	476	putative chaperonin
rpmG3	556960	558447	1487	putative O-acetylserine (thiol)-lyase
secE	565186	565974	788	dihydropteroate synthase
nusG	565998	566753	755	dihydroneopterin aldolase
rplK	567324	568706	1382	putative
rplA	568810	569697	887	lysyl-tRNA synthetase
rplJ	569701	570261	560	5S ribosomal RNA
rplL	570468	571682	1214	putative insertion element protein
SAR0546	571840	572301	461	putative insertion element protein
rpoB	572320	572886	566	GntR family regulatory protein
rpoC	572876	573883	1007	putative pyridoxine biosynthesis protein
SAR0549	573897	576353	2456	SNO glutamine amidotransferase family protein
rpsL	576837	578201	1364	nucleoside permease
rpsG	578226	579299	1073	putative DNA-binding protein
fus	579856	581310	1454	conserved hypothetical protein
tuf	581734	582381	647	putative phosphotransferase
SAR0554	582365	583765	1400	putative stress response-related Clp ATPase
kbl	583758	584162	404	putative DNA repair protein
SAR0556	584170	584916	746	putative membrane protein
SAR0557	584916	585440	524	putative glutamyl-tRNA synthetase
SAR0558	585521	586090	569	serine acetyltransferase
SAR0559	586205	586348	143	cysteinyl-tRNA synthetase
SAR0560	586404	586586	182	conserved hypothetical protein
SAR0561	586599	587147	548	SpoU rRNA Methylase family protein
SAR0562	587328	587750	422	conserved hypothetical protein
SAR0563	587958	588647	689	putative DNA-binding protein
SAR0564	588922	589422	500	50S ribosomal protein L33 type 3
SAR0565	589465	589833	368	preprotein translocase SecE subunit
sdrC	590008	590616	608	transcription antitermination protein
bbp	590831	594382	3551	50S ribosomal protein L11
SAR0568	594519	598142	3623	50S ribosomal protein L1
SAR0569	598222	598533	311	50S ribosomal protein L10
SAR0570	598631	599044	413	50S ribosomal protein L7/L12
SAR0571	599110	599580	470	conserved hypothetical protein
SAR0572	599703	601784	2081	DNA-directed RNA polymerase beta chain protein
SAR0573	602001	603185	1184	DNA-directed RNA polymerase beta' chain protein
SAR0574	603466	604641	1175	putative ribosomal protein
SAR0575	604812	605999	1187	30S ribosomal protein S12
SAR0576	606275	607153	878	30S ribosomal protein S7
proP	607311	608948	1637	translation elongation factor G
SAR0578	609162	610127	965	translation elongation factor Tu
SAR0580	610462	611538	1076	putative peptidase
